Topic,Count,Name,Representation,Representative_Docs
-1,164,-1_anak_imbestigahan_ulit_coa,"['anak', 'imbestigahan', 'ulit', 'coa', 'politicians contractors', 'sacrifice', 'bbm', 'actions', 'tong', 'officials']","['isn’t it ironic, don’t you think? jinggoy, the plunder master himself, whose father was also plunderer, now speaks about other people’s plundering. haay why do we keep hitting ourselves in the head voting for estradas, marcoses, dutertes, romualdezes, villars, cayetanos, tulfos (yes we remember the ptv scam) et al. anti-dynasty bill must be passed through people’s initiative, and not through an act of congress. tama na', 'as they are the xoyrce of his kurakot ,the current curroption niw had rekindle the drive in me physically am unable to do it now but my mind my mind and heart does the job. hzd sucessfukyy causes the susoenxion withot pat and eventual demotion in rank of provincial auditor maximo c, ablanida ,i was the only lady auditor who had personzlly accused then coa. hairman celso gangan b, efore he could sign the order for my dismissal from coa because of insubordinztion cgarged by my boss ablanida. as mere auditir ,i could not go inside the chairmans office odr coa policy but did was able to abort the order fir my dismussal from coa right on hus table fot his sigbzture it only shows mzda jess that if webare on the truth side of everything the universe will help us.', 'based on the justice system in ph, the people behind these anomalies will only be formally charged and put to prison in around 18 years. saklap, by then hindi na trending ang balitang ito. at nakalimot na ang lahat. hindi naman sa masama ako, pero think these politicians and contractors never thought of how the families impacted suffered on day to day basis gutom, baha, death, etc. hence, the families of these politicians and contractors deserve the same suffering. p@kyu kayong lahat']"
0,324,0_galing_pilipinas_makukulong_alam,"['galing', 'pilipinas', 'makukulong', 'alam', 'senado', 'pilipino', 'siguro', 'kulungan', 'bayan', 'kapal']","['nice… expect na talagang magiging new normal na ang baha… prefer this and think this will be good sa mga paparating na bagyo lalo pag tuloy-tuloy yung ilang araw na magkaroon ng sunod-sunod… that way maging ramdam na ng lahat ang perwisyo dulot ng bana and siguro this will intensify the rage of the people…', 'sa totoo lng dapat ibalik ang pera sa kaban ng bayan sayang ang buwis nanakawin lng di sapat ang mawalan ka ng trabaho kaso or pagkukulong lng dapat my batas tayo bitay para wala gagaya or di na dadami ang magnanakaw para my takot sa batas ng pilipinas.', 'alam n’yo ba kung bakit todo pilit si marcoleta na sa senado ikulong si bryce? eh kasi aircon doon! para bang vip room ng kulungan libre pa kape at wifi siguro. pero teka, senado ba talaga kulungan? syempre hindi! ang tunay na kulungan ay pasay city jail. bakit gustong-gusto nila sa senado? simple lang para makapasok yung mga naka-barong at naka-kurbata na kurap. doon, pwede nilang lapitan si bryce, sabay bulong ng mga congressman-style na pananakot: “pssst, bryce… sumunod ka na, may lechon tayo sa lounge.” kaya ayaw ni bryce doon, kasi alam niyang ma-bra-brainwash siya. naalala n’yo pa noong panahon ni duterte sa bureau of customs? ganoon din ang style! kaya tama si tito sotto pasay city jail ang tamang destinasyon! doon, walang naka-kurbata na maglalakas-loob pumasok kasi madumi, mainit, at may kamera pa. imagine si jinggoy na papasok sa pasay jail naka-barong? aba, baka siya pa ang interbyuhin ng mga preso: “boss, may libreng load ka ba diyan?” kaya para fair, pasay city jail talaga ang the best. walang vip treatment, walang brainwashing doon makikita kung sino ang tunay na matapang! juan dela cruz']"
1,177,1_guy_alcantara_good_coming,"['guy', 'alcantara', 'good', 'coming', 'bangag', 'hopefully', 'tiba', 'thank', 'romualdez', 'properties']","['""have some shame for our children who will inherit the debts you made"" that\'s pretty ironic coming from mouth of marcos blood.', 'never forget the top of the pyramid martin romualdez and zaldy co', ""really? then, invite zaldy co and martin rumualdez in the court to be interrogated if that's really true.""]"
2,71,2_corruption_take_government_people,"['corruption', 'take', 'government', 'people', 'money', 'fund', 'president', 'corrupt', 'confidential', 'philippine']","[""the suspension of this loan could be significant blow to the philippine government's credibility. besides losing vital funds for infrastructure projects, the country's reputation with international investors and partners will be tarnished. this incident may hinder other foreign investments in the future. \u200bthis should serve as harsh wake-up call for the philippines to take concrete steps in combating corruption."", ""my fellow filipinos, especially the youth, please beg you to keep your welfare and rights in mind when voting. may corruption end with this generation. let's stop perpetuating the cycle of corruption and poverty that the older generations are so accustomed to due to centuries of colonialism that normalized oppression. we have the rights to proper infrastructure, healthcare, and education. we deserve to have our public servants serve us. that is their duty. let's make them accountable. let's not stop until political dynasties that have been stealing billions for generations are ousted, abolished, and imprisoned. let's take our taxes back. this is non-partisan issue. we deserve better. the future generations deserve better. let’s fight for our rights."", 'they don’t really care about the country. there’s no love or patriotism to go through these lengths to deceive means they hate the people they just care about taking as money as they can they enter government for the sole purpose of stealing and taking the resources for themselves. thats their game and the better they are at lying making alliances and hiding that money is what makes them ’successful’ it’s inevitable that these corrupt politicians and their families, their connections will have tsunami of angry mob right outside their doorstep. it’s karmic retribution but the sad part of that is they left their karma/ legacy/ effect of incompetence, mediocrity, selfish ambition and corruption behind. hope when the masses do get angry, it would be with purpose and they don’t get carried away and put into power strong men authoritarian types. hope we learn from this awful tragedy']"
3,64,3_congressman_magalong_congressmen_senators,"['congressman', 'magalong', 'congressmen', 'senators', 'congress', 'impeachment', 'mayors', 'mayor', 'senate', 'term']","['gimmick nalng ng senate at congress yan. sila sila lang din mga magnanakaw at nakikinabang sa mga flood control projects na yan. for formality nlng imbestigasyon nila dyan sa hearing. walang makukulong ni isa dyan. sa senate pa lang ang daming plunderers dyan. yung raid ng nbi sa sasakyan ng mga discaya? for formality nlng din yun, tinimbrehan para may time mailabas mga kotse. nakita nyo ung video na pagkahapon isa isang binalik mga kotse sa garahe? halatang gimmick nlng nila talaga yan. isa nalng solusyon dyan civil war kagaya ng ginawa ng mga indonesian sa corrupt government nila ngayon.', 'dapat lng, sila ang may hawak ng mga anomalyang projects ehh so sila din ang may list of names ng tiwaling politicians, walang polpol na contractors kung walang tiwaling politicians. lgu leaders sila bat di nila na monitor ang mga projects sa lugar nila. at ang dpwh at coa pagka ba sinabi ng contractors na done na ang projects di ba sila marunong mag double check? pareho lng silang lahat mga magnanakaw, tamad lng mag check basta nabigyan lng ng cut okay na so why sa discaya lng ang sisi?', 'discaya dapat bawiin pera sa knila at ikulong sila ng 30 years walang lugar dapat sa pilipinas ang mga magnanakaw pati mga congressman na sangkot ikulong at bawiin pera sa knila hindi pwd na anim na taon lng sa kulongan 30 years dapat para hindi nrin nila maenjoy pera nila dahil nasa kulongan na sila no mercy sa mga magnanakaw pati yung mga engineer na sangkot 30 years na kulong ang hirap kumita ng pera sila susugal lng sa mga casino yung discaya nmn habit mamili ng mga mamahaling sasakyan kakapal ng mukha ghost project nmn pla ginagawa no mercy sa mga magnanakaw']"
4,57,4_flood control_flood_control_control projects,"['flood control', 'flood', 'control', 'control projects', 'inspect', 'sapat', 'projects', 'road', 'climate', 'admin']","['taga dito ako at can say na libo libong bagyo na ang dumaan perp never kaming binaha dito dahil bundok nga ito, ang kakapal ng mukha ng mga nakaisip maglagay ng flood control dito, mas kailangan ang flood control sa tapat ng munisipyo ng munti at sa baybayin ng laguna de bay. sana maimbistigan din ito at may managot. over price din ito at sabi dito march pa nag start pero ito lang august binungkal nung kaputukan ng ghost projects.', 'mahirap maghanap ng ebidensiya? hindi pa ba sapat na ebidensiya ang proyecto na giba-giba pagkaraan lang ng isang bagyo? hindi pa ba sapat na ebidensiya ang pag-amin ng kontratista sa ""ghost project"" flood control structure na yari sa sub-standard materials? hindi pa ba sapat na ebidensiya na nagpatalo ng bilyong piso ang ""bgc boys"" sa kasino? hindi pa ba sapat na ebidensiya ang correlation ng proponent (lawmaker) ng ""insertion"" sa gaa ng budget at ang project na pinaglaanan? mahirap nga bang maghanap ng ebidensiya pinahihirap lang ng mga imbestigador ng senado kongreso?', ""it is funny, have never seen rolls royce on facebook marketplace in the philippines before the flood control investigations started. yesterday, was just browsing, and there were two rolls royce cars and ton of other luxury high-end cars on marketplace. the politicians, contractors, and engineers are getting lot of attention right now, but the local people are also part of the problem. the foreman for current local flood control project has been selling deformed bar for half-price. locals are happily buying it. when everything falls apart, they will act confused about it and complain about corruption, but they will still happily brag about the great deal they got on the deformed bar. about 15 years ago, contractor built the road in front of our house. the foreman was selling cement to locals for half-price. the road is falling apart because there obviously wasn't enough cement in the mix, and they didn't use any deformed bar. my girlfriend's dad and many other locals are confused about why the road is falling apart, but they still happily brag about the great deal they got buying cement from the foreman. the government needs to clean house and prosecute all involved in the corruption, but they also need to launch an information campaign to educate the people so they can recognize that they are also often part of the problem.""]"
5,29,5_inspection_construction_contractor_completion,"['inspection', 'construction', 'contractor', 'completion', 'build', 'luxury cars', 'bypass', 'complete', 'engr', 'project']","['i’ve been part of the contractor team for dpwh project. dapat pag ganito, may inspection ang engr nila to confirm yung length niyan. kalsada lang ang project namin pero before magbuhos pinupuntahan nila to make sure tama ang thickness by checking the formworks.', 'gosh ano ifflood control nila dyan? it sits on top of hilly side ng muntinlupa. if may gagawin man diyan is yung drainage lang dahil naapaw kapag malakas ang ulan pero deretcho na yan sa ilog na di naman naapaw.yan yung sinasabi ni mayor magalong na nabibigla na lang ang lgus may mga dpwh projects na national project yet walang corresponding action sa kanila. bypass kung bypass.', 'short breake: hear this the discaya couple has had registered construction firm. if so, where are the heavy equipments per single construction firm they owned? 40 suvs (luxury cars) are not essential for flood control projects. knew small construction firm, but this metioned small company owns two hectares of parking lot where those heavy equipments are parked. now, if the discaya has construction firm, could they show us if there collection of heavy equipment could sustained constructing multiple projects at the same time on different location or province.']"
6,25,6_state_witness_hearing_gustong,"['state', 'witness', 'hearing', 'gustong', 'witness discaya', 'marcobeta', 'gawing', 'tapos', 'itong', 'mataas']","['grabe perwisyo ng nga discaya. tapos gusto pa ni marcoleta gawing state witness, at hndi na need ibanalik ang mga nakuhang funds.', 'tapos si marcobeta nagpupumilit gawing state witness ang mga discaya. bakit kaya.', 'tapos gusto ng isang senador na maging state witness ang mga discaya? sila pala itong mega suhol sa mga politiko para makakuha sila ng projects. nakinabang na nga sa pera ng tao, gagawin pang state witness? big no!']"
7,21,7_death penalty_penalty_death_jail,"['death penalty', 'penalty', 'death', 'jail', 'put', 'children', 'prison', 'execution', 'bitayin', 'public']","['daoat kse isulong na death penalty sa mga kurakkt ng gobyerno drug lord killer. rapist. kidnapper. yan dskat death penalty!', 'start the judicial process put all those guilty of graft corruption to death penalty', 'ibalik ang death penalty! bitayin public execution ang mga corrupt! bitayin pati mga kamaganak na nakinabang sa kaban ng bayan! bitay! sukdulan na!']"
8,13,8_freeze_assets_freeze assets_escape,"['freeze', 'assets', 'freeze assets', 'escape', 'seize', 'seize assets', 'came', 'list', 'tax', 'many days']","['freeze and seize their assets. blacklist them. report them to other countries. ano, “gg! nice game” na lang ba kesyo nakaalis na? punyeta', 'kasi it took how many days after the list of names came out to take action. wala man lang nag initiate to freeze assets or stop them from going out of the country. almost two weeks since the list came out giving these aholes to plan their escape. hirap mahalin ng philippines', 'freeze all their assets. nasa ibang bansa man yan, for sure hindi tatagal yan doon, if iddrain lahat ng pera nila dito. dapat istop muna pagcollect ng mga tax satin if ganyan. ilang billion ang pinag-uusapan dito, jusq 🤦\u200d♀️']"
9,12,9_pesos_gamit_tig_budget,"['pesos', 'gamit', 'tig', 'budget', 'solution', 'malamang', 'billion', 'bahain', 'economy', 'ilipat']","['grabe naman yan, billion ang project pero yung gamit na pang-measure tig-50 pesos', 'asan ung millions of piso,? wlang takot nga person magbulsa kaban ng bayan, mahiya nman kyo, hoy kawawa mga taong mahirap like me', 'imbes na ayusin at hanapin at solution, bahala na daw tayo bahain. solution ba yan? tapos san mo ilipat nanaman yun budget?']"
10,12,10_hague_puwede_rest_mansion,"['hague', 'puwede', 'rest', 'mansion', 'sina', 'agree', 'duterte', 'mean', 'digong', 'jailed']","['mean, nauna na si duterte. nasa hague na', 'puwede naman silang pabalikin. si duterte nga pinadala nila sa the hague eh. si teves pinabalik din nila dito.', 'agree. two of them is in hague right now. one is jailed while the other is seeking asylum.']"
